Subzone N,Geometry,Latitude (generated),Longitude (generated),Four Rm,Three Rm
BAYSHORE,POLYGON,1.310904572,103.948382433,0,0
BAYFRONT SUBZONE,POLYGON,1.282329456,103.858632498,0,0
BANGKIT,POLYGON,1.376657344,103.773809941,13030,3020
BALESTIER,POLYGON,1.325780145,103.851916359,6420,7710
ANSON,POLYGON,1.274193731,103.843705849,0,0
ANG MO KIO TOWN CENTRE,POLYGON,1.371769095,103.847024636,700,450
ANCHORVALE,POLYGON,1.395330771,103.886176767,14400,1090
ANAK BUKIT,POLYGON,1.337740358,103.769304458,2210,50
ALJUNIED,POLYGON,1.313854490,103.882436937,9720,10290
ALEXANDRA NORTH,POLYGON,1.292991557,103.820930976,0,0
ALEXANDRA HILL,POLYGON,1.287863531,103.810019163,4110,2740
AIRPORT ROAD,POLYGON,1.352110839,103.898214874,0,0
ADMIRALTY,POLYGON,1.453327354,103.825352165,5910,780
